id,category,image,name,price,PB,sorting
150,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/3195CA1D82254626B9519B0C413A7446.jpg,그릴)쟌슨빌치즈소시지,"1,500원",cu
151,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/773A94F43735435EA7EFD7B2874A738A.jpg,튀김)쟌슨빌크리스피핫도그,"1,800원",cu
152,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/4BBE503A149F40ACA02DFD1662181D0C.jpg,그릴)페파맛스모크소시지,"1,800원",cu
153,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148645520.jpg,튀김)핫찰도그체다치즈,"1,800원",cu
154,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148644912.jpg,튀김)매콤가라아게꼬치,"1,700원",cu
155,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/9D7654B202494295AB1A290E4A8B2BF5.jpg,튀김)치킨가라아게꼬치,"1,700원",cu
156,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148644226.jpg,튀김)핫찰도그오리지널,"1,500원",cu
157,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148640334.jpg,튀김)닭다리,"2,000원",cu
158,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148643380.jpg,튀김)하림순살넓적다리,"1,800원",cu
159,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/48AF43582F6F42BA94387417C367D692.jpg,튀김)매콤새우맛바,"2,000원",cu
160,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/C8B4F0648ABA4750A574311D4023E2DD.jpg,튀김)후라이드치킨,"9,900원",cu
161,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148649337.jpg,즉석빵)치즈대파스콘,"1,000원",cu
162,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648484.jpg,피자)페퍼로니피자,"5,900원",cu
163,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648262.jpg,즉석빵)플레인베이글,"1,000원",cu
164,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648279.jpg,즉석빵)미니소세지프레즐,500원,cu
165,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148648095.jpg,피자)고르곤콘치즈피자,"5,900원",cu
166,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647579.jpg,즉석빵)베리타르트60g,"1,200원",cu
167,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647562.jpg,즉석빵)초코타르트60g,"1,200원",cu
168,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148647555.jpg,즉석빵)에그타르트60g,"1,200원",cu
169,즉석조리,http://bgf-cu.xcache.kinxcdn.com/product/2201148645797.jpg,고)군고구마2000,"2,000원",cu
170,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/57E17A3D59624E3EA8D6CA90AC9A101B.jpg,즉석빵)듬뿍땅콩크림빵,"1,200원",cu
171,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/6CA25996823A429381AFC8993F3ED247.jpg,즉석빵)듬뿍우유크림빵,"1,100원",cu
172,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/F837C1B4CA7E489D81C43390F393197A.jpg,즉석빵)듬뿍연유소보로빵,"1,200원",cu
173,즉석조리,http://cdn2.bgfretail.com/bgfbrand/files/product/632582BE4819456F8D149B7E63FBF3E0.jpg,할라피뇨크림치즈빵,"1,200원",cu
