id,category,link,img,title,price
64,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=528,http://branch1.nowpick.co.kr/data/goods/528/thumb-8801045560090_0_235x235.jpg,뿌셔뿌셔떡볶이맛90g,900원
65,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=527,http://branch1.nowpick.co.kr/data/goods/527/thumb-8801045560076_0_235x235.jpg,뿌셔뿌셔바베큐맛90g,900원
66,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=526,http://branch1.nowpick.co.kr/data/goods/526/thumb-8801045560052_0_235x235.jpg,뿌셔뿌셔양념치킨맛90g,900원
67,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=525,http://branch1.nowpick.co.kr/data/goods/525/thumb-8801045560038_0_235x235.jpg,뿌셔뿌셔불고기맛90g,900원
68,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=457,http://branch1.nowpick.co.kr/data/goods/457/thumb-8801043036719_0_235x235.jpg,조청유과96g,"1,500원"
69,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=456,http://branch1.nowpick.co.kr/data/goods/456/thumb-8801043036672_0_235x235.jpg,인디안밥83g,"1,500원"
70,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=455,http://branch1.nowpick.co.kr/data/goods/455/thumb-8801043036634_0_235x235.jpg,바나나킥75g,"1,500원"
71,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=454,http://branch1.nowpick.co.kr/data/goods/454/thumb-8801043036559_0_235x235.jpg,닭다리핫숯불바베큐맛66g,"1,500원"
72,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=453,http://branch1.nowpick.co.kr/data/goods/453/thumb-8801043036535_0_235x235.jpg,닭다리후라이드치킨맛66g,"1,500원"
73,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=452,http://branch1.nowpick.co.kr/data/goods/452/thumb-8801043036498_0_235x235.jpg,양파깡77g,"1,500원"
74,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=451,http://branch1.nowpick.co.kr/data/goods/451/thumb-8801043036436_0_235x235.jpg,포스틱84g,"1,500원"
75,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=450,http://branch1.nowpick.co.kr/data/goods/450/thumb-8801043036238_0_235x235.jpg,자갈치90g,"1,500원"
76,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=449,http://branch1.nowpick.co.kr/data/goods/449/thumb-8801043036214_0_235x235.jpg,땅콩꽈배기84g,"1,500원"
77,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=448,http://branch1.nowpick.co.kr/data/goods/448/thumb-8801043036177_0_235x235.jpg,꿀꽈배기90g,"1,500원"
78,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=447,http://branch1.nowpick.co.kr/data/goods/447/thumb-8801043036139_0_235x235.jpg,감자깡75g,"1,500원"
79,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=446,http://branch1.nowpick.co.kr/data/goods/446/thumb-8801043036092_0_235x235.jpg,고구마깡83g,"1,500원"
80,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=445,http://branch1.nowpick.co.kr/data/goods/445/thumb-8801043036078_0_235x235.jpg,매운새우깡90g,"1,300원"
81,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=444,http://branch1.nowpick.co.kr/data/goods/444/thumb-8801043035989_0_235x235.jpg,새우깡90g,"1,300원"
82,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=443,http://branch1.nowpick.co.kr/data/goods/443/thumb-8801043031431_0_235x235.jpg,쫄병매콤한맛82g,"1,000원"
83,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=442,http://branch1.nowpick.co.kr/data/goods/442/thumb-64fB5q5Y4NWLbbPeEBjfQCESReGfCR_235x235.jpg,쫄병바베큐맛82g,"1,000원"
84,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=414,http://branch1.nowpick.co.kr/data/goods/414/thumb-8801043010061_0_235x235.jpg,수미칩양파85g,"2,500원"
85,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=413,http://branch1.nowpick.co.kr/data/goods/413/thumb-8801043010047_0_235x235.jpg,수미칩오리지날85g,"2,500원"
86,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=412,http://branch1.nowpick.co.kr/data/goods/412/thumb-8801043005814_0_235x235.jpg,포테토칩오리지날60g,"1,500원"
87,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=363,http://branch1.nowpick.co.kr/data/goods/363/thumb-8801019608056_0_235x235.jpg,빠새60g,"1,500원"
88,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=362,http://branch1.nowpick.co.kr/data/goods/362/thumb-8801019606540_0_235x235.jpg,허니버터칩60g,"1,500원"
89,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=361,http://branch1.nowpick.co.kr/data/goods/361/thumb-8801019606328_0_235x235.jpg,오사쯔고구마스낵60g,"1,500원"
90,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=360,http://branch1.nowpick.co.kr/data/goods/360/thumb-8801019608766_0_235x235.jpg,맛동산90g,"2,000원"
91,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=345,http://branch1.nowpick.co.kr/data/goods/345/thumb-8801019310720_0_235x235.jpg,홈런볼초코46g,"1,500원"
92,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=344,http://branch1.nowpick.co.kr/data/goods/344/thumb-8801019309571_0_235x235.jpg,버터링86g,"1,500원"
93,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=343,http://branch1.nowpick.co.kr/data/goods/343/thumb-8801019308611_0_235x235.jpg,초코틴틴76g,"1,800원"
94,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=342,http://branch1.nowpick.co.kr/data/goods/342/thumb-8801019313325_0_235x235.jpg,크림웨하스오리지널50g,900원
95,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=245,http://branch1.nowpick.co.kr/data/goods/245/thumb-79426368995_0_235x235.jpg,리코스나쵸칩미니100g,"1,500원"
96,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=175,http://branch1.nowpick.co.kr/data/goods/175/thumb-4902775018999_0_235x235.jpg,베이비스타치킨맛라멘5개입(115g),"2,500원"
97,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=174,http://branch1.nowpick.co.kr/data/goods/174/thumb-4902775018982_0_235x235.jpg,베이비스타치킨맛라멘101g,"1,500원"
98,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=129,http://branch1.nowpick.co.kr/data/goods/129/thumb-4711162826013_0_235x235.jpg,크리스피롤12곡180g,"4,500원"
99,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=128,http://branch1.nowpick.co.kr/data/goods/128/thumb-4543112881205_0_235x235.jpg,크레용신짱초코비20g,"2,500원"
100,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=61,http://branch1.nowpick.co.kr/data/goods/61/thumb-hVYfsmNfYnberxQcncFtRV8HEm21wv_235x235.jpg,액트투팝콘전자렌지용78g,"1,600원"
101,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=8206,http://branch1.nowpick.co.kr/data/goods/8206/thumb-6hjC6PVK5QUHHAHzvBLZ5sukECxLMp_235x235.jpg,돌아온썬갈릭바게트맛64g,품절
102,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=8009,http://branch1.nowpick.co.kr/data/goods/8009/thumb-TraaNeaBfkB4R362pfDNlyGFLKr2k9_235x235.jpg,퀼리블랙올리브브래드스틱50g,품절
103,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=7901,http://branch1.nowpick.co.kr/data/goods/7901/thumb-jXG7hyfbmFBJq6PxyylwTuwdfKLw8S_235x235.jpg,섬섬옥수수어니언68g,품절
104,봉지스낵,http://branch1.nowpick.co.kr/shop/view.php?index_no=7900,http://branch1.nowpick.co.kr/data/goods/7900/thumb-wu6VTgm6ntadhcfSK7CjcXaFsmRcPs_235x235.jpg,섬섬옥수수매콤달콤68g,품절
1,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7881,http://branch1.nowpick.co.kr/data/goods/7881/thumb-Jq26NaxNkDVT5C4Zwawn47KhNPAX6j_235x235.jpg,허쉬초콜릿싱글쿠키50g,"1,500원"
2,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7880,http://branch1.nowpick.co.kr/data/goods/7880/thumb-Qt92d1Y23qx3F1CtjLHEmmcfyQZptp_235x235.jpg,허쉬화이트아몬드쿠키50g,"1,500원"
3,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7818,http://branch1.nowpick.co.kr/data/goods/7818/thumb-m42Av3ZGbtWDaTBgVmBEzrCZUKYHAF_235x235.jpg,미니포테이토스틱100g,"1,600원"
4,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7565,http://branch1.nowpick.co.kr/data/goods/7565/thumb-XYmcHVwvrPFlfr2g6tP7Q1b2nW353j_235x235.jpg,커피누가크래커66g,"3,500원"
5,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7564,http://branch1.nowpick.co.kr/data/goods/7564/thumb-VTNulDYfQsgdkprggeq1g2TS3zKQcZ_235x235.jpg,누가크래커140g,"5,900원"
6,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7563,http://branch1.nowpick.co.kr/data/goods/7563/thumb-1rHFQKY8ZXyBg1dJ2ebY1HS5y8bmbl_235x235.jpg,임페리얼초콜릿헤이즐넛웨이퍼100g,"1,500원"
7,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7562,http://branch1.nowpick.co.kr/data/goods/7562/thumb-lZnceVkDPa6YYvhdwu7msBdyjthmcX_235x235.jpg,임페리얼티라미수향웨이퍼100g,"1,500원"
8,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7561,http://branch1.nowpick.co.kr/data/goods/7561/thumb-RqYQc7MDCcfTwqx6bzYrs51VYhBgvz_235x235.jpg,임페리얼밀키바닐라향웨이퍼100g,"1,500원"
9,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7560,http://branch1.nowpick.co.kr/data/goods/7560/thumb-3b94PgnaxpmwlbRDBWPcmjUlkayPNW_235x235.jpg,임페리얼데니쉬버터쿠키200g,"3,100원"
10,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7559,http://branch1.nowpick.co.kr/data/goods/7559/thumb-TvxTbqGxn4VHZj86MS2esjUsB9p5LL_235x235.jpg,임페리얼데니쉬버터쿠키500g,"7,000원"
11,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7558,http://branch1.nowpick.co.kr/data/goods/7558/thumb-ec7cRA87szPvwKxnsg5a38w2l3YvWl_235x235.jpg,킨도파라인크래커150g,"1,000원"
12,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7557,http://branch1.nowpick.co.kr/data/goods/7557/thumb-B2adJ3J2K8ktfpbgvW14LslPKU3Gcn_235x235.jpg,킨도미니크리스피크래커150g,"1,000원"
13,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7554,http://branch1.nowpick.co.kr/data/goods/7554/thumb-UwNQPma53G2HlA2yd2C4mEsN5uews7_235x235.jpg,알루이메가촉초콜릿맛180g,"1,500원"
14,쿠키/크래커,http://branch1.nowpick.co.kr/shop/view.php?index_no=7553,http://branch1.nowpick.co.kr/data/goods/7553/thumb-ANEeUTUgTrjRk992TTwZw4wPUaJGZK_235x235.jpg,알루이메가촉바닐라향180g,"1,500원"
